
time,bias,peak
29359,0.625,0.5449219
29430,0.59375,0.5410156
29501,0.625,0.5371094
29572,0.625,0.53808594
29643,0.65625,0.5419922
29714,0.625,0.53808594
29785,0.625,0.5341797
29856,0.65625,0.5419922
29927,0.625,0.53515625
29997,0.65625,0.5361328
30068,0.5625,0.5390625
30138,0.5625,0.5419922
30209,0.5625,0.55371094
30280,0.5625,0.546875
30351,0.53125,0.56152344
30422,0.53125,0.6142578
30492,0.40625,0.64453125
30563,0.40625,0.6269531
30634,0.40625,0.63964844
30705,0.40625,0.6503906
30777,0.40625,0.6347656
30848,0.40625,0.6376953
30919,0.40625,0.640625
30990,0.34375,0.6357422
31061,0.34375,0.63671875
31133,0.34375,0.64453125
31204,0.34375,0.6376953
31274,0.34375,0.6376953
31345,0.34375,0.63183594
31416,0.34375,0.6435547
31487,0.375,0.6357422
31557,0.34375,0.6386719
31628,0.34375,0.6347656
31699,0.34375,0.6376953
31771,0.34375,0.640625
31841,0.34375,0.6357422
31913,0.34375,0.63964844
31983,0.34375,0.64160156
32054,0.34375,0.62890625
32125,0.34375,0.6347656
32196,0.34375,0.63671875
32267,0.34375,0.6376953
32337,0.34375,0.640625
32408,0.34375,0.63671875
32479,0.34375,0.6279297
32550,0.34375,0.63183594
32621,0.34375,0.63964844
32692,0.34375,0.63964844
32763,0.34375,0.63378906
32833,0.34375,0.6376953
32904,0.34375,0.6357422
32976,0.34375,0.6357422
33047,0.40625,0.6347656
33117,0.34375,0.6357422
33189,0.34375,0.6376953
33259,0.375,0.6347656
33330,0.375,0.6425781
33401,0.34375,0.6376953
33472,0.34375,0.62890625
33543,0.34375,0.640625
33614,0.34375,0.6376953
33685,0.34375,0.6298828
33756,0.375,0.66015625
33827,0.34375,0.6328125
33898,0.40625,0.6328125
33969,0.375,0.6591797
34040,0.40625,0.6298828
34110,0.34375,0.6357422
34181,0.34375,0.640625
34251,0.34375,0.6376953
34322,0.34375,0.6425781
34393,0.34375,0.6347656
34464,0.34375,0.63671875
34535,0.40625,0.6308594
34605,0.34375,0.6347656
34676,0.34375,0.6357422
